_input_address,_input_zpid,_input_url,_which,_fetched_at,message,source,GraphType,RecentFirst,DataPoints_city,DataPoints_state,DataPoints_streetAddress,DataPoints_zipcode,DataPoints_Current_Rent_Zestimate,_error
"120 Ralph Mcgill Blvd NE Apt 202 # 202, Atlanta, GA, 30308",82626092,https://www.zillow.com/homedetails/82626092_zpid/,zestimate_history,2026-04-12T16:13:40.662922+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=82626092&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F82626092_zpid%2F&byaddress=120+Ralph+Mcgill+Blvd+NE+Apt+202+%23+202%2C+Atlanta%2C+GA%2C+30308
"3475 Oak Valley Rd NE Apt 120 # 120, Atlanta, GA, 30326",35928232,https://www.zillow.com/homedetails/35928232_zpid/,rent_zestimate_history,2026-04-12T16:13:40.921372+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=35928232&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F35928232_zpid%2F&byaddress=3475+Oak+Valley+Rd+NE+Apt+120+%23+120%2C+Atlanta%2C+GA%2C+30326
"3475 Oak Valley Rd NE Apt 120 # 120, Atlanta, GA, 30326",35928232,https://www.zillow.com/homedetails/35928232_zpid/,zestimate_history,2026-04-12T16:13:41.195101+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=35928232&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F35928232_zpid%2F&byaddress=3475+Oak+Valley+Rd+NE+Apt+120+%23+120%2C+Atlanta%2C+GA%2C+30326
"4805 W Village Way SE # 2000/2, Smyrna, GA, 30080",87686743,https://www.zillow.com/homedetails/87686743_zpid/,rent_zestimate_history,2026-04-12T16:13:41.457357+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=87686743&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F87686743_zpid%2F&byaddress=4805+W+Village+Way+SE+%23+2000%2F2%2C+Smyrna%2C+GA%2C+30080
"4805 W Village Way SE # 2000/2, Smyrna, GA, 30080",87686743,https://www.zillow.com/homedetails/87686743_zpid/,zestimate_history,2026-04-12T16:13:41.717719+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=87686743&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F87686743_zpid%2F&byaddress=4805+W+Village+Way+SE+%23+2000%2F2%2C+Smyrna%2C+GA%2C+30080
"1112 Harwell St NW, Atlanta, GA, 30314",35834415,https://www.zillow.com/homedetails/35834415_zpid/,rent_zestimate_history,2026-04-12T16:13:41.984712+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=35834415&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F35834415_zpid%2F&byaddress=1112+Harwell+St+NW%2C+Atlanta%2C+GA%2C+30314
"1112 Harwell St NW, Atlanta, GA, 30314",35834415,https://www.zillow.com/homedetails/35834415_zpid/,zestimate_history,2026-04-12T16:13:42.236856+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=35834415&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F35834415_zpid%2F&byaddress=1112+Harwell+St+NW%2C+Atlanta%2C+GA%2C+30314
"32 Peachtree St NW Apt 1307 # 1307, Atlanta, GA, 30303",65462938,https://www.zillow.com/homedetails/65462938_zpid/,rent_zestimate_history,2026-04-12T16:13:42.507072+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=65462938&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F65462938_zpid%2F&byaddress=32+Peachtree+St+NW+Apt+1307+%23+1307%2C+Atlanta%2C+GA%2C+30303
"32 Peachtree St NW Apt 1307 # 1307, Atlanta, GA, 30303",65462938,https://www.zillow.com/homedetails/65462938_zpid/,zestimate_history,2026-04-12T16:13:42.768804+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=65462938&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F65462938_zpid%2F&byaddress=32+Peachtree+St+NW+Apt+1307+%23+1307%2C+Atlanta%2C+GA%2C+30303
"3201 Lenox Rd NE # 26, Atlanta, GA, 30324",461491210,https://www.zillow.com/homedetails/461491210_zpid/,rent_zestimate_history,2026-04-12T16:13:43.041281+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=461491210&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F461491210_zpid%2F&byaddress=3201+Lenox+Rd+NE+%23+26%2C+Atlanta%2C+GA%2C+30324
"3201 Lenox Rd NE # 26, Atlanta, GA, 30324",461491210,https://www.zillow.com/homedetails/461491210_zpid/,zestimate_history,2026-04-12T16:13:43.298774+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=461491210&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F461491210_zpid%2F&byaddress=3201+Lenox+Rd+NE+%23+26%2C+Atlanta%2C+GA%2C+30324
"2158 Freydale Rd SE, Marietta, GA, 30067",14310750,https://www.zillow.com/homedetails/14310750_zpid/,rent_zestimate_history,2026-04-12T16:13:43.595136+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=14310750&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F14310750_zpid%2F&byaddress=2158+Freydale+Rd+SE%2C+Marietta%2C+GA%2C+30067
"2158 Freydale Rd SE, Marietta, GA, 30067",14310750,https://www.zillow.com/homedetails/14310750_zpid/,zestimate_history,2026-04-12T16:13:43.861713+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=14310750&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F14310750_zpid%2F&byaddress=2158+Freydale+Rd+SE%2C+Marietta%2C+GA%2C+30067
"970 Sidney Marcus Blvd NE # 2319, Atlanta, GA, 30324",2086976750,https://www.zillow.com/homedetails/2086976750_zpid/,rent_zestimate_history,2026-04-12T16:13:44.148384+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=2086976750&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F2086976750_zpid%2F&byaddress=970+Sidney+Marcus+Blvd+NE+%23+2319%2C+Atlanta%2C+GA%2C+30324
